dad_5[c],u23ga2[c]
caro[c],gcarote[c]
gcarote[c],lycop[c]
mg2[e],mg2[p]
prfp[c],prlp[c]
cit[c],icit[c]
man6p[c],man1p[c]
pphn[c],chor[c]
tczcaro[c],dczcaro[c]
chor[c],ichor[c]
g1p[c],g6p[c]
nh4[c],nh4[p]
26dap__M[c],26dap_LL[c]
xu5p__D[c],ru5p__D[c]
dmpp[c],ipdp[c]
gam6p[c],gam1p[c]
2pg[c],3pg[c]
dhap[c],g3p[c]
glu__D[c],glu__L[c]
ca2[c],ca2[p]
ala__L[c],ala__D[c]
ru5p__D[c],r5p[c]
photon530[e],photon550[e]
lycop[c],ttclyco[c]
glcdg1619Z160[c],glcdg1819Z160[c]
mgdg1619Z160[c],glcdg1619Z160[c]
LalaDglu[c],LalaLglu[c]
h[c],h[p]
5caiz[c],5aizc[c]
udpgal[c],udpg[c]
2cpr5p[c],pran[c]
glu1sa[c],5aop[c]
5mdr1p[c],5mdru1p[c]
mgdg161[c],glcdg161[c]
mgdg1819Z1619Z[c],glcdg1819Z1619Z[c]
uacgam[c],uacmam[c]
